['i didnt feel humiliated', 'i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake', 'im grabbing a minute to post i feel greedy wrong', 'i am ever feeling nostalgic about the fireplace i will know that it is still on the property', 'i am feeling grouchy', 'ive been feeling a little burdened lately wasnt sure why that was', 'ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny', 'i feel as confused about life as a teenager or as jaded as a year old man', 'i have been with petronas for years i feel that petronas has performed well and made a huge profit', 'i feel romantic too']
['i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful', 'i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day', 'i was still feeling strong', 'i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him', 'i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter', 'i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it', 'i clench to the corners of the bed to feel assured', 'i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it', 'i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question', 'i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious']

['admiration', 'energetic', 'determined', 'restrained', 'disappointment', 'skeptical', 'anxious', 'guilty', 'spiritual', 'uncertain']




['i do not feel miserable at all because my family is not the type that celebrates eid', 'i might go get a car wash if i am feeling really generous my car needs it', 'i still feel sleep deprived she is almost sleeping through the night giving us', 'i just feel really violent right now', 'i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we', 'i started feeling funny and then friday i woke up sick as a dog', 'i feel a need to protect my parents against the witch hunt that repressed memory therapy can be', 'i feel disgusted to even be associated with this woman by my race and nationality', 'i laughed then bitterly again but i wasnt feeling bitter', 'i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever']

['neutral', 'neutral', 'sleep deprived', 'angry', 'content', 'sick', 'protective', 'disgusted', 'bitter', 'uncertain']




['i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold', 'i told him that maybe i just need time to think how ive been feeling indecisive about things lately', 'i still feel it does the genre a disservice when stories are resolved artifically', 'i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed', 'i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off', 'i could feel her whimper to the thought of being unloved and uncared for', 'im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show', 'im sorry that there wasnt more humor in this post but im not feeling all that funny', 'i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains', 'i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love']

['mellow', 'indecisive', 'disservice', 'artistic', 'terrified', 'whimper', 'guarded', 'not funny', 'accomplished', 'jealous']





['i feel strange coming back to work after my one day holiday', 'im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet', 'i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls', 'i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either', 'i feel so sad and hopeless', 'im getting the feeling that my classes are a little intimidated by the concept of a lit', 'i still feel groggy but i have to get up to do the routine for my son', 'i have a feeling my view isnt going to be very popular and thats fine', 'i want to hold this feeling of shocked awe and wonder forever', 'when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures']

['strange', 'influenced', 'fatter', 'frustrated', 'sad', 'intimidated', 'groggy', 'unpopular', 'awe', 'fear']




['i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes', 'i know there are days in which you feel distracted', 'i use it regularly with relaxing music and always feel invigorated afterward', 'im feeling distracted i tend to practice with my eyes shut as much as possible', 'i feel like its perfect a w see youtube has its influences i even know trends', 'i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol', 'i also didn t feel very weird sleeping in my bed while the two of them slept in hers', 'i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy', 'ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now', 'i hope to feel a bit more creative again soon and miss its presence in my life blog']

['valued', 'distracted', 'invigorated', 'distracted', 'excited', 'shy', 'comfortable', 'needy', 'confident', 'hopeful']
